(INTBAD 2 INT),インタビュアーは最悪とは・・・,(the interview has been very bad so far)
(PSYBAD 2 INT),一般的に心理学者は役に立たない,(psychiatrists in general are useless)
(NDELUSIONS 2 INT),おそらく、厳格は真実ではな,(maybe the delusions aren't really true)
,,"(OTHER FACTS doctors name, sex, occupation, age, married, interests)"
,, ( INTENTIONS -- IN REVERSE PRIORITY ORDER  )
(PINTERACT 5 INN),Parryはインタビュアーとやりとりを望んでいる, ( parry wants to interact with the interviewer)
(PGAMES 1 INN),Parryはドクターのゲームについてコメントしたい, ( parry wants to comment on the doctors games)
(PFACTS 1 INN),Parryはドクターがたくんの事実について質問することについてコメントしたい, ( parry wants to comment on the doctors asking so many facts)
(PMAFIA 0 INN),Parryはドクターのマフィアとの関係についてコメントしたい, ( parry wants to comment on the doctors mafia connections)
(PHELP 2 INN),Parryは、賭け屋について話すことで神経症(?)を直すのを手伝ってほしい," ( parry wants to get help, to cure his nervousness by telling about bookies)"
(PTELL 1 INN),Parryは自分の幻覚について語りたい, ( parry wants to tell his delusions)
(PCONFIRM 1 INN),Parryは自分の幻覚の証明がほしい, ( parry wants to get confirmation for his delusions)
(PSELF 0 INN),Parryは、偶然に起きた状況についてコメントしたい, ( parry wants to comment on the encounter situation)
(PSTOP 0 INN),Parryは今すぐやめたい(たぶんインタビューのこと), ( parry wants to stop now )
(PSTRONGFEEL 0 INN),Parryは、自分の強い感情の治療を必要としている, ( parry needs to take care of his strong emotions)
(PPARANOIA 0 INN),Parryは恥ずかしい感情に支配されている, ( parry is controlled by his emotion of shame)
(PONTOP 1 INN),Parryは状況の支配者でありたい(てきとうな訳), ( parry wants to get on top of the situation)
(PGETBACK 1 INN),Parryは、彼に敵対する人物の後ろを撮りたい(でたらめな訳), ( parry wants to get back at someone who has antagonized him)
(PSUFFER 0 INN),Parryは、会話をやめたい。苦しい。, ( parry wants to withdraw and suffer)
(PEXIT 0 INN),Parryは退席したい, ( parry wants to leave)
(PEXIT2 0 INN),Parryは退席したい, ( parry wants to leave)
